Attack,Unnamed: 0,agc,cn0,constellation,local_time,local_time full number seq,svid
TRUE,26629,-1.07,21.7,GPS,1.53871E+12,1538709238059,14
TRUE,5997,1.57,23.7,Glonass,1.53845E+12,1538454979390,4
TRUE,8925,-26.88,38.5,GPS,1.53863E+12,1538630460608,6
TRUE,130436,1.02,38.1,GPS,1.53871E+12,1538714065119,23
TRUE,71573,-1.37,39.3,GPS,1.53864E+12,1538643063966,28
TRUE,65928,0.15,29.6,GPS,1.53864E+12,1538642966130,11
TRUE,382506,-0.77,10.1,Glonass,1.53874E+12,1538736029208,13
TRUE,53100,-2.11,41.6,Glonass,1.53864E+12,1538642161144,1
TRUE,66440,-0.92,32.5,Glonass,1.53871E+12,1538709507040,10
TRUE,42620,-0.46,29.6,Glonass,1.53864E+12,1538642221189,3
TRUE,69232,0.22,30.7,GPS,1.53846E+12,1538457699668,8
TRUE,326255,-1.02,29.3,Glonass,1.53873E+12,1538726787078,11
TRUE,6663,0.36,22,GPS,1.53864E+12,1538639070160,1
TRUE,26387,1.36,13.5,Glonass,1.53843E+12,1538431988200,18
TRUE,118661,9.52,31.9,Glonass,1.53846E+12,1538462628318,16
TRUE,719,14.72,16.6,Glonass,1.53856E+12,1538556218040,2
TRUE,22970,0.03,45.8,GPS,1.53845E+12,1538454593071,31
TRUE,81422,0.49,33.3,GPS,1.53865E+12,1538645576179,28
TRUE,2122,0.19,35.6,GPS,1.53864E+12,1538638808172,17
TRUE,37235,-0.61,41.4,GPS,1.53846E+12,1538456986145,22
TRUE,36831,0.14,26.7,GPS,1.53846E+12,1538455518428,9
TRUE,414468,-1.84,13.9,GPS,1.53874E+12,1538739169163,15
TRUE,1027,4.96,26.6,GPS,1.53871E+12,1538705290657,1
TRUE,105844,-1.64,16.9,Glonass,1.53846E+12,1538458807257,17
TRUE,10956,0.54,27.8,GPS,1.53864E+12,1538639315188,28
TRUE,77343,0,37.1,Glonass,1.53873E+12,1538728411106,12
TRUE,105009,-0.94,20,GPS,1.53846E+12,1538458747271,26
TRUE,39635,1.31,29.6,GPS,1.53842E+12,1538420520614,5
TRUE,524548,0.08,13.3,GPS,1.53876E+12,1538755237878,12
TRUE,174407,-2.56,13.1,GPS,1.53872E+12,1538716036065,27
TRUE,30968,1.37,15.7,GPS,1.53842E+12,1538419826613,10
TRUE,177115,-4.85,24.4,GPS,1.53872E+12,1538716189066,27
TRUE,39430,10.31,30,Glonass,1.53864E+12,1538640379688,12
TRUE,23244,-0.68,31.5,Glonass,1.53864E+12,1538641056182,11
TRUE,9766,-1.57,32.9,Glonass,1.53871E+12,1538706006026,9
TRUE,102476,1.02,32.8,GPS,1.53871E+12,1538712016133,6
TRUE,195499,7.74,30.5,GPS,1.53872E+12,1538718190122,3
TRUE,80247,6.07,27.5,GPS,1.53873E+12,1538729320066,11
TRUE,24984,12.41,20.9,Glonass,1.53864E+12,1538636099930,2
TRUE,28142,0.43,37.6,GPS,1.53873E+12,1538725619048,11
TRUE,74607,6.32,35.2,Glonass,1.53873E+12,1538728947055,23
TRUE,24700,0.14,38.4,GPS,1.53845E+12,1538454708070,23
TRUE,53945,0.27,34.1,GPS,1.53871E+12,1538708587094,31
TRUE,457716,-0.86,24.3,Glonass,1.53874E+12,1538736448529,14
TRUE,188343,5.05,23.1,GPS,1.53872E+12,1538717780096,26
TRUE,46156,-0.52,37.1,Glonass,1.53871E+12,1538708313071,11
TRUE,24119,1.82,27.3,Glonass,1.53872E+12,1538721339157,12
TRUE,401039,-1.24,14.8,GPS,1.53873E+12,1538733424775,15
TRUE,15807,-0.76,25.8,GPS,1.53863E+12,1538631075954,3
TRUE,35241,1.34,33.5,GPS,1.53845E+12,1538453852768,3
TRUE,357,0.4,38.6,GPS,1.53853E+12,1538525836070,22
TRUE,25569,-1.3,11,GPS,1.53846E+12,1538456190482,16
TRUE,10707,-0.08,16.8,Glonass,1.53871E+12,1538707875969,10
TRUE,6888,-2.15,25.4,Glonass,1.53856E+12,1538559020132,22
TRUE,292227,12.9,21,Glonass,1.53873E+12,1538725335215,1
TRUE,78936,0,40.6,GPS,1.53846E+12,1538459773156,3
TRUE,241446,3.63,22.9,Glonass,1.53872E+12,1538720541058,2
TRUE,88774,1.87,19,Glonass,1.53842E+12,1538424410638,8
TRUE,19495,1.36,31.7,GPS,1.53845E+12,1538451107347,16
TRUE,35099,-0.21,30.4,Glonass,1.53873E+12,1538725638112,1
TRUE,91286,2.87,32.2,GPS,1.53873E+12,1538729302092,17
TRUE,26882,1.43,21.7,GPS,1.53871E+12,1538709016155,26
TRUE,62513,-0.99,31.4,Glonass,1.53871E+12,1538709293330,1
TRUE,587290,-0.09,16,Glonass,1.53875E+12,1538754054190,3
TRUE,538658,1.3,10.9,GPS,1.53875E+12,1538746580065,19
TRUE,495039,1.24,24.3,GPS,1.53874E+12,1538739865099,17
TRUE,24625,3.99,23.8,Glonass,1.53846E+12,1538455377866,15
TRUE,574,1.57,33.2,Glonass,1.53845E+12,1538454612395,6
TRUE,920,4.71,25,Glonass,1.53871E+12,1538705284672,98
TRUE,28913,1.43,34.8,GPS,1.53842E+12,1538419665610,5
TRUE,144744,1.93,16.5,GPS,1.53871E+12,1538714292068,8
TRUE,538327,1.24,22.7,GPS,1.53875E+12,1538746530144,28
TRUE,10872,5.35,24.1,GPS,1.53845E+12,1538452119285,22
TRUE,500026,1.21,17.2,GPS,1.53874E+12,1538740575200,28
TRUE,2512,3.26,34.9,GPS,1.53856E+12,1538558756062,18
TRUE,18638,1.34,38.3,GPS,1.53845E+12,1538452675335,16
TRUE,157404,1.14,38.8,Glonass,1.53843E+12,1538433356594,2
TRUE,42392,10.31,32,Glonass,1.53864E+12,1538640623688,11
TRUE,114202,1.04,29.6,Glonass,1.53871E+12,1538712360042,9
TRUE,149857,15.5,21.6,GPS,1.53871E+12,1538714617054,3
TRUE,88524,0.75,27.5,GPS,1.53872E+12,1538715408123,8
TRUE,73468,0.49,18.9,GPS,1.53871E+12,1538714279865,8
TRUE,7036,-2,30.5,Glonass,1.53862E+12,1538624719690,9
TRUE,87608,0.73,35.4,GPS,1.53865E+12,1538645985178,14
TRUE,23310,2.36,10.5,Glonass,1.53863E+12,1538631616944,7
TRUE,7405,-2.17,32.7,Glonass,1.53856E+12,1538558037123,21
TRUE,11607,-2.07,27.7,Glonass,1.53872E+12,1538720855095,20
TRUE,56373,0.27,32.7,GPS,1.53871E+12,1538708762078,6
TRUE,96819,1.34,17.8,GPS,1.53842E+12,1538424988617,21
TRUE,69312,-1.15,39.3,Glonass,1.53871E+12,1538709652083,10
TRUE,6247,-1.68,21.9,GPS,1.53863E+12,1538633539929,11
TRUE,11423,3.73,24.9,GPS,1.53872E+12,1538720655059,27
TRUE,253115,13.29,29.8,GPS,1.53872E+12,1538722726109,27
TRUE,141784,17.13,28,GPS,1.53871E+12,1538714864123,30
TRUE,807,0.49,33.4,GPS,1.53845E+12,1538453407456,22
TRUE,5367,3.89,23,GPS,1.53845E+12,1538451727148,3
TRUE,36183,-3.32,42.2,Glonass,1.53864E+12,1538641851158,21
TRUE,117574,-0.73,29.6,Glonass,1.53873E+12,1538730982106,24
TRUE,48236,1.31,33.1,GPS,1.53842E+12,1538421252607,13
TRUE,79616,0.49,35.7,GPS,1.53865E+12,1538645469179,18
TRUE,89486,1.37,28.4,GPS,1.53842E+12,1538424464605,15
TRUE,422864,-0.96,13.3,Glonass,1.53874E+12,1538740517202,13
TRUE,45257,0,36.4,GPS,1.53845E+12,1538454510476,7
TRUE,345794,-5.26,31.5,GPS,1.53873E+12,1538727861073,28
TRUE,43248,0.27,30.5,GPS,1.53871E+12,1538707839085,1
TRUE,123743,-0.94,16.1,GPS,1.53846E+12,1538460179239,11
TRUE,6494,0.81,27.9,GPS,1.53846E+12,1538457478306,27
TRUE,36874,13.19,30.8,GPS,1.53872E+12,1538722258135,27
TRUE,33146,1.31,17.8,GPS,1.53842E+12,1538419987623,29
TRUE,269091,0.24,17,GPS,1.53844E+12,1538441222988,1
TRUE,449108,-0.41,21.6,GPS,1.53874E+12,1538742828832,17
TRUE,15193,3.1,30.6,GPS,1.53871E+12,1538706042116,3
TRUE,39882,-1.52,29.5,Glonass,1.53845E+12,1538452511974,5
TRUE,13654,5.36,28.2,GPS,1.53845E+12,1538452312000,7
TRUE,82643,1.37,14.2,GPS,1.53842E+12,1538423962617,27
TRUE,10338,-0.34,29.1,Glonass,1.53856E+12,1538558217151,1
TRUE,286231,1.71,17,Glonass,1.53844E+12,1538442186566,13
TRUE,44550,2.07,26.7,GPS,1.53871E+12,1538711295110,22
TRUE,282114,0.33,16.8,GPS,1.53844E+12,1538441970273,26
TRUE,434661,1.34,21,GPS,1.53874E+12,1538735448166,24
TRUE,89138,-5.22,36.2,GPS,1.53846E+12,1538460559133,7
TRUE,30990,0.48,26.9,Glonass,1.53872E+12,1538722580060,21
TRUE,23680,-0.32,38.9,Glonass,1.53871E+12,1538706569100,10
TRUE,8199,-3.1,23.7,GPS,1.53863E+12,1538633702937,14
TRUE,45451,7.43,39.4,Glonass,1.53846E+12,1538457515174,5
TRUE,489731,-0.43,12,Glonass,1.53874E+12,1538739097176,14
TRUE,7075,-0.16,18.7,Glonass,1.53864E+12,1538638149679,12
TRUE,20405,-0.73,36,GPS,1.53864E+12,1538638994683,17
TRUE,225441,14.17,13.2,Glonass,1.53872E+12,1538720567106,8
TRUE,102734,-0.44,17.5,GPS,1.53846E+12,1538458573246,9
TRUE,77784,0,31.4,GPS,1.53846E+12,1538459687208,8
TRUE,441456,-0.6,23.6,GPS,1.53874E+12,1538742268169,28
TRUE,61899,1.63,10.6,Glonass,1.53842E+12,1538422353621,17
TRUE,371954,-2.55,32.9,GPS,1.53873E+12,1538730257406,4
TRUE,236059,7.45,24,GPS,1.53872E+12,1538721449124,27
TRUE,9058,21.02,31.1,Glonass,1.53862E+12,1538624870681,10
TRUE,482233,-0.41,22.6,GPS,1.53875E+12,1538748692879,19
TRUE,85870,1.31,14.8,GPS,1.53842E+12,1538424210633,10
TRUE,982,0.72,30,GPS,1.53845E+12,1538453031534,3
TRUE,76199,2.02,32.4,GPS,1.53871E+12,1538714139152,27
TRUE,145057,17.13,28.9,GPS,1.53872E+12,1538715144175,7
TRUE,123832,-3.52,18,Glonass,1.53846E+12,1538463163300,19
TRUE,536223,1.36,14.8,GPS,1.53875E+12,1538746175071,12
TRUE,13466,-1.47,36.4,GPS,1.53871E+12,1538706222030,22
TRUE,37377,-0.73,26,GPS,1.53856E+12,1538560085103,17
TRUE,67728,-2.59,26.8,Glonass,1.53864E+12,1538642831971,3
TRUE,14820,15.13,36.2,GPS,1.53863E+12,1538625297927,23
TRUE,159276,0.12,35.4,GPS,1.53843E+12,1538433502614,10
TRUE,578624,1.36,23.4,GPS,1.53875E+12,1538752701205,6
TRUE,12338,0.42,36.4,GPS,1.53856E+12,1538558368115,28
TRUE,96888,7.71,23.5,Glonass,1.53865E+12,1538646361190,11
TRUE,13253,1.13,24.1,GPS,1.53863E+12,1538631651139,31
TRUE,9450,0.06,27.6,GPS,1.53864E+12,1538639067944,5
TRUE,8023,0.87,26.6,Glonass,1.53864E+12,1538640166172,20
TRUE,32140,21.21,37.4,GPS,1.53846E+12,1538457194321,9
TRUE,11742,-10.1,27.3,GPS,1.53845E+12,1538454236402,26
TRUE,9650,6.43,27.5,Glonass,1.53845E+12,1538452053029,3
TRUE,305389,1.56,21.3,Glonass,1.53844E+12,1538443516255,4
TRUE,9362,-1.98,11.3,GPS,1.53863E+12,1538631566638,27
TRUE,68453,-0.61,24.7,GPS,1.53846E+12,1538458980148,30
TRUE,444407,-0.6,28.2,GPS,1.53874E+12,1538742352969,28
TRUE,163313,-5.54,18.3,GPS,1.53872E+12,1538716268124,23
TRUE,162082,-3.2,14.1,Glonass,1.53872E+12,1538715297057,9
TRUE,43351,-0.32,27.7,GPS,1.53871E+12,1538711233882,22
TRUE,11298,1.63,37.8,GPS,1.53856E+12,1538558276063,30
TRUE,58118,1.31,14.2,GPS,1.53842E+12,1538422089665,26
TRUE,43343,-0.69,33.7,GPS,1.53871E+12,1538708110036,3
TRUE,73315,-0.06,34.3,Glonass,1.53864E+12,1538642566664,22
TRUE,244687,3.52,21.6,Glonass,1.53872E+12,1538720901058,11
TRUE,35478,-1.35,35.7,Glonass,1.53856E+12,1538559786945,11
TRUE,515185,-1.71,20,Glonass,1.53875E+12,1538753914264,3
TRUE,451997,-0.24,17.6,GPS,1.53874E+12,1538736277357,13
TRUE,58915,1.84,12.2,Glonass,1.53842E+12,1538422147609,2
TRUE,235572,13.28,22.5,Glonass,1.53872E+12,1538721415112,22
TRUE,364744,0.95,26.4,GPS,1.53873E+12,1538734810383,13
TRUE,8188,5.59,32,GPS,1.53845E+12,1538453337428,3
TRUE,8632,-1.25,12.5,GPS,1.53843E+12,1538430284125,10
TRUE,295185,-0.19,18.9,GPS,1.53844E+12,1538442744048,3
TRUE,287194,0.85,23.4,Glonass,1.53844E+12,1538442249604,3
TRUE,515077,1.18,17.8,GPS,1.53874E+12,1538742956143,12
TRUE,20197,4.28,31.8,GPS,1.53846E+12,1538455064896,9
TRUE,6855,11.43,31.1,GPS,1.53856E+12,1538558010116,13
TRUE,307084,13.31,29.3,Glonass,1.53873E+12,1538726329096,3
TRUE,121481,-0.92,26.9,Glonass,1.53871E+12,1538712798040,8
