Date,Start,End,Epoch Start,Epoch End,Type
10/3/18,2140,2206,1538602800000,1538604360000,CW of Freq
10/3/18,2336,2350,1538609760000,1538610600000,CW / pulse CW (+ CW on Glonass freq?)
10/4/18,140,202,1538617200000,1538618520000,GWN
10/4/18,205,209,1538618700000,1538618940000,GWN
10/4/18,217,243,1538619420000,1538620980000,GWN
10/4/18,244,259,1538621040000,1538621940000,GWN
10/4/18,301,329,1538622060000,1538623740000,GWN
10/4/18,334,348,1538624040000,1538710440000,FM CW
10/5/18,117,148,1538702220000,1538704080000,Sporadic Testing(Possible Test Data?)
10/5/18,148,208,1538704080000,1538705280000,GWN
10/5/18,211,230,1538705460000,1538706600000,CW L1
10/5/18,231,243,1538706660000,1538707380000,Jammer On/Off
10/5/18,245,257,1538707500000,1538708220000,GWN
10/5/18,259,317,1538708340000,1538698620000,Swept CW
